ID;Vezeteknev;Keresztnev;Utonev;Felhasznalonev;VezetekesTel;MobilTel;Email;IRSZ;Varos;KozteruletNeve;KozteruletJellege;Hazszam;Epulet;Statusz
16;Takách;Csilla;S;Fibine;364505628025383;3643478081896881;SzatmaryVayk@fleckens.hu;8209;Jánoshida;Apor Péter;utca;11;G;2
17;Sághi;Gedeon;M;Prewn1979;36015612821300;361715745787594;MeyerKadosa@einrot.com;8200;Budapest;Árpád fejedelem;útja;78;F;0
18;Mester;Áron;A;Unterequan;368543893173327;363873601881579;ForgachKornel@rhyta.com;5390;Farkasfa;Kis Diófa;utca;51;G;2
19;Balla;János;G;Thends;360287540361771;3611430046833328;MullnerLorinc@dayrep.com;7379;Bakonygyepes;Izabella;utca;78;I;0
20;Boda;Zágon;D;Themake;365719086160598;3666561620535232;GalFlora@cuvox.de;9470;Erdôkövesd;Erzsébet;tér;93;I;1
21;Orsós;Margo;K;Frompan;369937877248919;364777894737166;MarkoFulop@einrot.com;3634;Mezôladány;Bem;rakpart;51;E;0
22;Kádár;Lõrinc;F;Spinhe1970;367677857927416;3623385565090233;GyorffyRokus@dayrep.com;6018;Pilisszántó;Síp;utca;85;C;0
23;Polach;Dacso;O;Pirclue;365117945293203;3670423220501279;UrbanLaszlo@dayrep.com;7609;Tiszakécske;Király;utca;99;G;0
24;Majer;Adél;G;Thersemeaten;360751185369421;360338804995228;SmittTihamer@fleckens.hu;3663;Újudvar;Kálmán Imre;utca;54;J;1
25;Szôlôssy;Tünde;V;Fragend;362251065908047;3609327407018288;PalffyIstvan@jourrapide.com;3195;Budapest;Csabai;kapu;14;E;1
26;Simka;Andor;S;Coped1944;364455458042364;3682028258100499;FoldySzabolcs@rhyta.com;1812;Babót;Wesselényi;utca;6;H;1
27;Müllner;Zita;C;Sysion;36970087577481;368370268277555;GyorffiRobi@armyspy.com;1302;Újvárfalva;Eötvös;út;74;G;0
28;Söröss;Etel;T;Dramuch;36761166615668;36386918590695;HercegJanos@rhyta.com;6250;Erdôtelek;Erzsébet;tér;38;H;2
29;Ferenc;Dániel;E;Beepireed;363212821607481;369037930613388;IllyesZigana@teleworm.us;2361;Fonyód;Nánási;út;45;J;1
30;Gáspár;Luca;B;Actemend;36208285847303;3640329257757352;DankaBajnok@dayrep.com;7393;Kunadacs;Király;utca;33;F;0
31;Szôlôssy;Paliki;L;Arth1982;36062950266231;3643272018142921;ReveszGara@jourrapide.com;3117;Szalatnak;Szilágyi Erzsébet;fasor;70;G;1
32;Márton;Roza;B;Thedignst;36447476651508;363463821679931;MullnerKartal@dayrep.com;8891;Bihartorda;Tompa;utca;38;A;0
33;Berky;Dominika;S;Deanne63;361211638141713;3675143472514535;KecskesBarbara@superrito.com;6266;Drávacsepely;Agip;utca;61;J;1
34;Péter;Emma;O;Milesse;36465312988048;3660443649439758;SzollossyKat@gustr.com;7119;Sóskút;Árpád fejedelem;útja;39;G;0
35;Tolnay;Regx;I;Gotal1996;364915015929000;361993436050586;LorinczJulcsa@einrot.com;2887;Rábapordány;Bécsi;utca;82;A;0
36;Szigety;Koppány;I;Chrome50;36380422721525;365690265209185;HuszarOrzsebet@jourrapide.com;2670;Budapest;Árpád fejedelem;útja;11;C;0
37;Benkó;Domonkos;F;Poppershe;362935446049950;3636923779720216;KocsisMiksa@einrot.com;5404;Gyöngyösoroszi;Apáczai Csere János;utca;19;J;0
38;Berec;Teca;M;Flut1945;36938242479685;3673669391392142;KallaiBenci@rhyta.com;3553;Kustánszeg;Csavargyár;utca;82;C;1
39;Német;Moricz;A;Retharts;364913597067557;361174424254561;SzucsGyuszi@dayrep.com;1207;Hajdúdorog;Hegyalja;út;72;A;1
40;Benedek;Domonkos;P;Frouths;368998170650236;36340983897719;MakaiLazar@dayrep.com;1885;Szepetnek;Csavargyár;utca;79;C;1
41;Pál;Géza;P;Whomen;36751800507362;36445190615869;BakosRez@dayrep.com;8957;Kecskemét;Király;utca;58;H;0
42;Halász;Vázsony;E;Sinattletle1951;36696924105766;363156475303281;SzaszDomonkos@dayrep.com;1182;Kazár;Apáczai Csere János;utca;46;D;2
43;Simka;Tétény;K;Suaid1956;36927779570187;367488437599086;KaszaPeterke@teleworm.us;1641;Villány;Piroska;utca;75;C;1
44;Szöllösi;Vanda;U;Sidia1996;364069679910078;36298673326468;SzalaiRez@superrito.com;8788;Kompolt;Erzsébet;tér;19;F;0
45;Baranyi;Imre;N;Thookinieng;363963340308316;36833112640149;FabianCsilla@rhyta.com;3464;Zalaszántó;Izabella;utca;35;B;0
46;Faragó;Orbán;D;Pridge;36703100900100;36254523106532;PollakTimea@gustr.com;9407;Bakonyszombathely;Munkácsy Mihály;út;62;I;0
47;Bányai;Sebestyen;D;Thoutencers;369729827230314;3690281253427432;FoldiUgor@cuvox.de;9757;Eszteregnye;Csavargyár;utca;45;F;1
48;Pethe;Pázmán;F;Suldy1980;364285056957068;364499593699121;SzellGedeon@dayrep.com;6713;Miskolc;Dózsa György;út;74;E;1
49;Sághi;Eszter;Z;Knours1989;365160973286321;36221653287461;BorbasSzilard@einrot.com;9451;Fedémes;Erzsébet;tér;62;B;1
50;Müller;Zsofia;K;Histo1978;36631997593390;3685238307677590;FoldyIcaIlka@rhyta.com;2749;Körmend;Kis Diófa;utca;69;H;1
51;Jónás;Karsa;N;Debafrould1937;36870360233410;3603946988752370;FoldesLantos@fleckens.hu;7925;Bordány;Nagytétényi;út;24;B;1
52;Fülöp;Borka;H;Wireds;364190824800843;36338189946795;SzaszNikoletta@cuvox.de;3706;Szabolcsbáka;Budaörsi;út;37;C;0
53;Szûts;Luca;B;Woughat;364617578712232;3666065293079316;DeakOrs@gustr.com;4419;Magyarkeszi;Tas vezér;utca;17;D;0
54;Kultsár;Agoti;L;Gazile;36738881271255;363078968914610;GalCzigany@rhyta.com;8936;Nagymaros;Hegedûs Gyula;utca;20;G;1
55;Torma;Jozsi;S;Fewasy;363092078855978;368647067374215;AsztalosGitta@jourrapide.com;2881;Rohod;Bem;rakpart;64;G;2
56;Magyar;Kardos;I;Othoose1956;36083872785407;3668948337352962;WagnerBianka@rhyta.com;1610;Szarvasgede;Apáczai Csere János;utca;45;F;2
57;Seres;Regõ;E;Liner1946;36637340418273;364997954338654;CsordasFanni@gustr.com;1625;Erdôtarcsa;Síp;utca;16;C;0
58;Szöllôsy;Kadosa;A;Areacking;36525039912607;361350494129325;SzepesBorka@einrot.com;3705;Pocsaj;Tompa;utca;5;J;2
59;Dudás;Blanka;V;Tileords;36157845195503;366968344787542;TolnaiAttila@fleckens.hu;6014;Iklad;Síp;utca;28;C;2
60;Kulcsár;Edina;Z;Muctnow;368794390799915;36945030071275;SchmitOzor@armyspy.com;7652;Alcsútdoboz;Teréz;körút;91;J;2
61;Simon;Belle;S;Youghtisto;366147224410023;362117700247023;VighSzabina@fleckens.hu;1244;Gyôrújbarát;Bécsi;utca;96;F;2
62;Erdélyi;Adrienn;G;Illaxy45;36180251950976;365346000008235;DeakFruzsina@armyspy.com;6318;Györgytarló;Hegyalja;út;25;F;2
63;Cseh;Fereng;D;Vased1934;366200033585588;3698816817165188;KerekesFirenze@rhyta.com;5261;Budapest;Árpád fejedelem;útja;81;F;2
64;Mészáros;Zajzon;L;Ract1998;369165803853739;3642141402584941;PolachIbolya@jourrapide.com;9023;Somogyzsitfa;Kálmán Imre;utca;37;B;1
65;Kállay;Ármin;J;Sibluself;362802463219198;3620038440192978;BerkyGizi@superrito.com;1565;Kiscséripuszta;Teréz;körút;77;E;2
66;Kasza;Rykus;E;Diect1994;369531442080387;360082304989820;MakkaiRenata@superrito.com;1857;Vácszentlászló;Síp;utca;55;G;1
67;Fazakas;Regina;K;Younarright;36544897106305;3651786317419488;SmidPentele@dayrep.com;3214;Gelsesziget;Kálmán Imre;utca;14;A;2
68;Császár;Robi;K;Domse1965;368597372680618;3698690959848156;SalaiMatyas@jourrapide.com;6759;Kisbudmér;Piroska;utca;73;I;0
69;Zsinkó;Gabriella;Z;Eirchey;365992381102832;3664549683778657;SaaghyElek@jourrapide.com;9685;Gerla;Veres Pálné;utca;4;B;1
70;Hegedûs;Tabor;M;Prond1984;367193701969021;364454513362518;PalTarcal@rhyta.com;8380;Szil;Wesselényi;utca;17;C;2
71;Ferencz;Nusi;V;Siond1962;366686004214408;36822379116993;SzegedyArnold@superrito.com;5587;Kôszegdoroszló;Belgrád;rakpart;10;C;0
72;Szôllôssi;Gyala;G;Seld1961;366831123082114;366995440584219;HercegDeco@armyspy.com;5511;Tóalmás;Síp;utca;9;D;1
73;Szöllösi;Szevér;D;Hature;36805795127667;369220457468157;BernathLaborc@superrito.com;6835;Seregélyes;Teréz;körút;2;G;0
74;Majer;Csaba;I;Swas1977;363115436777698;360445940908429;KatonaAranka@armyspy.com;4641;Fülöpháza;Király;utca;2;I;2
75;Saári;Bars;L;Kattlet;363964118630306;366961636473289;FeketeSzonja@gustr.com;3883;Kérsemjén;Bem;rakpart;87;C;0
76;Gyenis;Vayk;G;Halique;360288265033631;36207006405590;SzutsRoland@fleckens.hu;5527;Felsômindszent;Szilágyi Erzsébet;fasor;33;G;2
77;Smitt;Patrik;L;Oneverse;367199137778185;3694381975612940;SzarkaOszlar@dayrep.com;3621;Horvátkút;Nánási;út;2;A;1
78;Hoffmann;Máté;A;Tionge;36453845405732;3643999063029936;PinterSebestyen@cuvox.de;8863;Dorog;Erzsébet;körút;90;A;0
79;Koncz;Zizi;K;Forideare;36556596634412;3670686572792101;KocsisFanni@cuvox.de;2420;Múcsony;Baross;tér;64;D;0
80;Gáll;Karole;M;Thaing;369793671035193;364069613642579;SzabadosCsenger@teleworm.us;5004;Tállya;Bem;rakpart;28;D;2
81;Pete;Kund;E;Thossittly;361492531205647;365901689969179;SzakatsKerecsen@einrot.com;9650;Szabolcs;Budaörsi;út;5;C;2
82;Hegedüs;Bálint;V;Judis1961;361651979083693;36430836063598;RatzMalcsi@dayrep.com;9777;Nemesszentandrás;Csavargyár;utca;57;E;1
83;Gál;Enikõ;K;Dresseppy;364436958153701;36828310009968;FerencziVanessza@fleckens.hu;3101;Gutatôttôs;Belgrád;rakpart;46;E;1
84;Huszár;Marika;L;Diect1990;362819019192795;36488178005078;ErdelyiCili@jourrapide.com;8025;Domaszék;Nagytétényi;út;27;G;2
85;Makkai;Rókus;A;Forint;362016758664034;366789732842932;GeraEszter@einrot.com;8973;Budapest;Csabai;kapu;85;I;1
86;Forgách;Kati;G;Wrign1986;367900127210905;362307825726223;SzutsRoland@teleworm.us;7674;Berettyóújfalu;Tompa;utca;3;A;0
87;Szôllôs;Agotha;M;Noweat;365997563103554;36807674003432;VorossKeleman@gustr.com;3714;Budapest;Árpád fejedelem;útja;62;G;1
88;Kárpáthy;Zsuska;D;Thys1981;362453651871886;3658090772245868;SzolossiKeled@cuvox.de;4724;Legyesbénye;Bem;rakpart;12;I;1
89;Pataki;Czigany;O;Aninilead;361250266587932;36775593093336;PalfyFrici@rhyta.com;4821;öcsöd;Veres Pálné;utca;35;H;1
90;Balog;Ferenc;E;Winfory;368589195382470;361252329152501;SzollossyGazsi@teleworm.us;4110;Makó;Nagytétényi;út;14;D;2
91;Salai;Dorka;A;Evesuselet;36328440116985;36946751681525;CsorbaErzebet@fleckens.hu;5461;Pécsvárad;Kossuth Lajos;utca;69;C;2
92;Gyarmathy;Zsuzsanna;Z;Haterearged59;361018560523348;3691921404419770;PalffiJazmin@fleckens.hu;9433;Hollóháza;Hegyalja;út;59;D;2
93;Zsinkó;Bartalan;P;Eine1962;36598323734894;3699390576492640;SzakalyPiusz@dayrep.com;8479;Budapest;Csabai;kapu;6;F;2
94;Szalai;Tas;H;Operepien;365885545240583;366081235755426;CsontosSoma@gustr.com;8908;Lickóvadamos;Nyár;utca;41;D;2
95;Horváth;Veronika;B;Attle1942;364564907742536;362672789429693;CsonkaIzsak@rhyta.com;6563;Sorkifalud;Belgrád;rakpart;95;J;2
96;Bogdán;Ozor;E;Mange1988;36944478903051;3659739665311847;FoldyIcaIlka@jourrapide.com;8353;Vámospércs;Tompa;utca;22;C;2
97;Gyenis;Zsuska;K;Givand;365884653730156;36739578520490;MatyasLiza@fleckens.hu;5307;Dencsháza;Agip;utca;59;G;2
98;Kántor;Adojan;M;Coullefelow;362940818718013;3665740356897972;SeressEgyed@rhyta.com;6818;Szin;Baross;tér;82;F;0
99;Váradi;Malika;L;Hiniisteron;36583940588999;3609006872076985;SultisBorbala@jourrapide.com;7109;Ipolyvece;Hegedûs Gyula;utca;70;D;2
100;Szekeres;Bence;H;Cown1952;366579458645726;363202488376358;SchmittIzabella@armyspy.com;6046;Pusztacsó;Belgrád;rakpart;52;B;0
